YEAR,COUNTRY,EVENT_TYPE,SUB_EVENT_TYPE,CENTROID_LATITUDE,CENTROID_LONGITUDE,EVENTS,FATALITIES
2023,Yemen,Strategic developments,Disrupted weapons use,"13,8943","44,7825",1,0
2023,Yemen,Strategic developments,Disrupted weapons use,"14,0881","44,175",2,3
2023,Yemen,Strategic developments,Disrupted weapons use,"14,326","45,216",1,0
2023,Yemen,Strategic developments,Disrupted weapons use,"14,5395","44,3063",1,3
2023,Yemen,Strategic developments,Disrupted weapons use,"14,651","46,62",18,1
2023,Yemen,Strategic developments,Disrupted weapons use,"14,7791","43,2181",5,0
2023,Yemen,Strategic developments,Disrupted weapons use,"15,3329","45,4523",8,11
2023,Yemen,Strategic developments,Disrupted weapons use,"15,3931","44,4753",1,6
2023,Yemen,Strategic developments,Disrupted weapons use,"15,4201","44,1919",2,0
2023,Yemen,Strategic developments,Disrupted weapons use,"15,5791","40,9906",8,0
2023,Yemen,Strategic developments,Disrupted weapons use,"16,0944","43,2039",3,0
2023,Yemen,Strategic developments,Disrupted weapons use,"16,5288","48,6269",3,1
2023,Yemen,Strategic developments,Disrupted weapons use,"16,5962","45,5989",3,0
2023,Yemen,Strategic developments,Disrupted weapons use,"17,0575","51,8238",9,0
2023,Yemen,Strategic developments,Disrupted weapons use,"17,0883","44,0424",9,0
2023,Yemen,Strategic developments,Headquarters or base established,"12,5081","53,893",1,0
2023,Yemen,Strategic developments,Headquarters or base established,"14,0881","44,175",1,0
2023,Yemen,Strategic developments,Headquarters or base established,"14,7791","43,2181",1,0
2023,Yemen,Strategic developments,Headquarters or base established,"16,0944","43,2039",1,0
2023,Yemen,Strategic developments,Headquarters or base established,"16,5288","48,6269",1,0
2023,Yemen,Strategic developments,Headquarters or base established,"17,0883","44,0424",1,0
2023,Yemen,Strategic developments,Looting/property destruction,"12,8058","44,788",8,0
2023,Yemen,Strategic developments,Looting/property destruction,"13,2949","43,7855",17,0
2023,Yemen,Strategic developments,Looting/property destruction,"13,3204","44,7623",3,0
2023,Yemen,Strategic developments,Looting/property destruction,"13,6274","46,228",4,0
2023,Yemen,Strategic developments,Looting/property destruction,"13,8943","44,7825",4,0
2023,Yemen,Strategic developments,Looting/property destruction,"14,0881","44,175",38,0
2023,Yemen,Strategic developments,Looting/property destruction,"14,326","45,216",1,0
2023,Yemen,Strategic developments,Looting/property destruction,"14,5395","44,3063",3,0
2023,Yemen,Strategic developments,Looting/property destruction,"14,651","46,62",7,0
2023,Yemen,Strategic developments,Looting/property destruction,"14,657","43,6874",3,0
2023,Yemen,Strategic developments,Looting/property destruction,"14,7791","43,2181",9,0
